gen,elapsed_s,front_size,best_acc,mean_acc,run_id
0,62.10528826713562,2,0.4754,0.34955,nsga2_seed0_1770822441
1,51.99126100540161,4,0.56,0.40230000000000005,nsga2_seed0_1770822441
