,seed,HV_acc_params,HV_acc_flops
count,1.0,1.0,1.0
mean,0.0,0.5162865102638013,0.4870362633610388
std,,,
min,0.0,0.5162865102638013,0.4870362633610388
25%,0.0,0.5162865102638013,0.4870362633610388
50%,0.0,0.5162865102638013,0.4870362633610388
75%,0.0,0.5162865102638013,0.4870362633610388
max,0.0,0.5162865102638013,0.4870362633610388
