pick_id,region_tag,cifar10_val_acc_proxy,params,flops,target_dataset,target_acc_mean,target_acc_std,activation,optimizer,lr,chrom_json
0,selected,0.56,289034,79766464,cifar100,0.1146,0.0,leaky_relu,adam,0.007163198564812189,"{""n_conv"": 6, ""filters"": [128, 32, 96, 64, 64, 96], ""kernels"": [5, 3, 3, 3, 5, 3], ""use_bn"": true, ""dropout"": 0.4, ""activation"": ""leaky_relu"", ""optimizer"": ""adam"", ""lr"": 0.007163198564812189}"
1,selected,0.2114,29738,29721536,cifar100,0.014,0.0,gelu,sgd,0.00017431608187606286,"{""n_conv"": 2, ""filters"": [32, 96], ""kernels"": [3, 3], ""use_bn"": true, ""dropout"": 0.4, ""activation"": ""gelu"", ""optimizer"": ""sgd"", ""lr"": 0.00017431608187606286}"
